name,time
rc208.2.txt,93.5569
rc_206.4.txt,0.756886
rc_202.1.txt,0.0220974
rc_202.3.txt,0.00929491
rc_202.2.txt,0.00434098
rc_206.2.txt,0.50252
rc_206.3.txt,0.124406
rc_206.1.txt,0.00137231
rc_204.3.txt,6.3396
rc_202.4.txt,0.0126572
rc_204.2.txt,0.0350705
rc_201.1.txt,0.00417969
rc_203.3.txt,265.352
rc_205.4.txt,0.00848763
rc_203.2.txt,0.0339914
rc_201.2.txt,0.00544441
rc_207.4.txt,0.00156191
rc_203.1.txt,0.0122229
rc_201.3.txt,0.00824352
rc_205.3.txt,0.0203441
rc_207.1.txt,10.1488
rc_205.2.txt,0.0133438
rc_203.4.txt,0.00451878
rc_201.4.txt,0.00473602
rc_207.2.txt,13.024
rc_207.3.txt,22.1045
rc_205.1.txt,0.00300392
rc_208.2.txt,37.6495
